epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0223,1.64627,2.53798,1.07703,0.9903,0.97941,0.99304,0.67555,1.47975,1.21446,1.00123,0.000664953,0.000664953,0.000664953
2,153.287,1.58078,1.33216,1.03611,0.99158,0.97941,0.99263,0.66058,1.54731,1.068,1.01002,0.0012657,0.0012657,0.0012657
3,213.947,1.55864,1.22637,1.03809,0.9321,0.97619,0.97583,0.66491,1.47136,1.35621,1.01351,0.00180046,0.00180046,0.00180046
4,274.068,1.53852,1.17212,1.02944,0.99739,0.98344,0.9948,0.68307,1.47655,1.04338,1.01192,0.001703,0.001703,0.001703
5,334.701,1.51866,1.12183,1.02459,0.99065,0.98872,0.99271,0.69436,1.42454,0.97488,1.00319,0.001604,0.001604,0.001604
6,395.031,1.49144,1.06841,1.01214,0.99384,0.9852,0.99412,0.69857,1.42356,0.9515,0.99552,0.001505,0.001505,0.001505
7,455.76,1.47353,1.03439,1.00553,0.9968,0.99099,0.99438,0.70151,1.41207,0.89972,1.00433,0.001406,0.001406,0.001406
8,516.02,1.45017,1.00255,1.00296,0.99587,0.98938,0.99417,0.70992,1.383,0.86473,0.97835,0.001307,0.001307,0.001307
9,576.94,1.44922,0.98843,1.00027,0.99194,0.98948,0.99409,0.71073,1.3843,0.83781,0.99034,0.001208,0.001208,0.001208
10,637.533,1.43427,0.96192,0.99739,0.99335,0.99163,0.99436,0.71833,1.36203,0.85381,0.98048,0.001109,0.001109,0.001109
11,721.283,1.40735,0.90259,0.99562,0.99408,0.98745,0.99434,0.70586,1.40876,0.86541,0.97648,0.00101,0.00101,0.00101
12,781.655,1.39116,0.88624,0.98514,0.99709,0.99194,0.99469,0.71406,1.37147,0.83499,0.97746,0.000911,0.000911,0.000911
13,841.473,1.3804,0.86,0.98469,0.99761,0.99356,0.99466,0.71425,1.36116,0.8203,0.97711,0.000812,0.000812,0.000812
14,901.596,1.3721,0.83484,0.97979,0.99689,0.99131,0.99461,0.71431,1.37047,0.83441,0.97015,0.000713,0.000713,0.000713
15,962.73,1.35558,0.81769,0.97899,0.99774,0.99418,0.99498,0.72627,1.34793,0.78424,0.97309,0.000614,0.000614,0.000614
16,1025.2,1.34379,0.79685,0.97605,0.99771,0.99356,0.99484,0.72371,1.34842,0.76061,0.97586,0.000515,0.000515,0.000515
17,1098.88,1.33333,0.77351,0.9686,0.99742,0.99438,0.99498,0.72556,1.33828,0.74636,0.96824,0.000416,0.000416,0.000416
18,1160.7,1.31965,0.75834,0.96659,0.99805,0.99582,0.995,0.72681,1.33222,0.74222,0.96414,0.000317,0.000317,0.000317
19,1232.28,1.30411,0.73317,0.96022,0.99871,0.99511,0.99496,0.7299,1.33131,0.71471,0.96272,0.000218,0.000218,0.000218
20,1307.49,1.29495,0.71602,0.9556,0.99895,0.99453,0.9949,0.72912,1.3326,0.70659,0.96424,0.000119,0.000119,0.000119
